Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
160	1	160	942	382	0	61.7	953.482	247.976	NA	10.77	NA	68.199	136.397
161	1	161	924	362	0	58.4	980.389	249.159	NA	26.907	NA	-131.987	159.814
162	1	162	914	356	0	61.9	992.051	247.111	NA	11.662	NA	-149.036	-17.049
163	1	163	902	360	0	60.9	1004.7	236.457	NA	12.649	NA	161.565	-49.399
164	2	1	762.667	425.333	0	52.5	0	0	NA	NA	NA	NA	NA
165	2	2	762.667	424	0	53.3	1.333	1.333	NA	1.333	NA	-90	NA
166	2	3	765.333	422.667	0	60.4	4.315	3.771	NA	2.981	NA	-26.565	63.435
167	2	4	765.333	424	0	54.6	5.648	2.981	NA	1.333	NA	90	116.565
168	2	5	766	418	0	59.2	11.685	8.055	NA	6.037	NA	-83.66	-173.66
169	2	6	773	420	0	184.2	18.965	11.629	NA	7.28	NA	15.945	99.605
170	2	7	772	420	0	47.6	19.965	10.75	NA	1	NA	180	164.055
171	2	8	773	421	0	50	21.379	11.205	NA	1.414	NA	45	-135
172	2	9	778	421	0	174.6	26.379	15.934	NA	5	NA	0	-45
173	2	10	779	420	0	85.2	27.794	17.182	NA	1.414	NA	-45	-45
174	2	11	782	419	0	169.8	30.956	20.344	NA	3.162	NA	-18.435	26.565
175	2	12	782	420	0	45.5	31.956	20.055	NA	1	NA	90	108.435
176	2	13	784	419	0	43.2	34.192	22.254	NA	2.236	NA	-26.565	-116.565
177	2	14	785	419	0	46.4	35.192	23.214	NA	1	NA	0	26.565
178	2	15	789	420	0	59.5	39.315	26.868	NA	4.123	NA	14.036	14.036
179	2	16	791.167	418.833	0	33.8	41.776	29.232	NA	2.461	NA	-28.301	-42.337
180	2	17	791.833	418.833	0	44.3	42.442	29.882	NA	0.667	NA	0	28.301
181	2	18	793.833	418.167	0	42	44.551	31.98	NA	2.108	NA	-18.435	-18.435
182	2	19	797.167	418.833	0	26.8	47.95	35.107	NA	3.399	NA	11.31	29.745
183	2	20	799.833	420.833	0	158	51.283	37.438	NA	3.333	NA	36.87	25.56
184	2	21	797.833	419.5	0	42	53.687	35.647	NA	2.404	NA	-146.31	176.82
185	2	22	799.167	418.167	0	41.8	55.573	37.197	NA	1.886	NA	-45	101.31
186	2	23	801.833	418.833	0	39.8	58.321	39.702	NA	2.749	NA	14.036	59.036
187	2	24	803.167	418.833	0	39.4	59.655	41.018	NA	1.333	NA	0	-14.036
188	2	25	801.833	420.167	0	41.9	61.54	39.506	NA	1.886	NA	135	135
189	2	26	801.833	417.5	0	36.2	64.207	39.942	NA	2.667	NA	-90	135
190	2	27	798.5	415.5	0	41.9	68.094	37.158	NA	3.887	NA	-149.036	-59.036
191	2	28	794.5	415.5	0	37	72.094	33.317	NA	4	NA	180	-30.964
192	2	29	792.5	414.167	0	52.4	74.498	31.855	NA	2.404	NA	-146.31	33.69
193	2	30	789.833	414.167	0	46.8	77.165	29.372	NA	2.667	NA	180	-33.69
194	2	31	786.5	414.833	0	31.2	80.564	26.044	NA	3.399	NA	168.69	-11.31
195	2	32	783.833	414.167	0	56.8	83.313	23.932	NA	2.749	NA	-165.964	25.346
196	2	33	784.5	412.167	0	47.7	85.421	25.496	NA	2.108	NA	-71.565	94.399
197	2	34	779.833	412.167	0	52.4	90.088	21.635	NA	4.667	NA	180	-108.435
198	2	35	778.5	412.833	0	31	91.578	20.173	NA	1.491	NA	153.435	-26.565
199	2	36	777.167	410.833	0	38.2	93.982	20.506	NA	2.404	NA	-123.69	82.875
200	2	37	773.833	410.833	0	31	97.315	18.301	NA	3.333	NA	180	-56.31
201	2	38	772.5	408.833	0	41	99.719	19.208	NA	2.404	NA	-123.69	56.31
202	2	39	772.5	408.167	0	43.2	100.386	19.784	NA	0.667	NA	-90	33.69
203	2	40	770.5	409.5	0	28.8	102.789	17.665	NA	2.404	NA	146.31	-123.69
204	2	41	771.167	406.167	0	42.2	106.189	20.967	NA	3.399	NA	-78.69	135
205	2	42	773.167	404.833	0	33.5	108.592	23.033	NA	2.404	NA	-33.69	45
206	2	43	773.167	403.5	0	33.7	109.926	24.227	NA	1.333	NA	-90	-56.31
207	2	44	776.5	402.833	0	38.6	113.325	26.412	NA	3.399	NA	-11.31	78.69
208	2	45	779.167	402.833	0	39.9	115.992	27.902	NA	2.667	NA	0	11.31
209	2	46	779.167	400.167	0	41.5	118.658	30.093	NA	2.667	NA	-90	-90
210	2	47	779.833	400.833	0	37.2	119.601	29.916	NA	0.943	NA	45	135
211	2	48	777.167	400.167	0	42.2	122.35	29.045	NA	2.749	NA	-165.964	149.036
212	2	49	775.833	398.833	0	41.7	124.236	29.591	NA	1.886	NA	-135	30.964
213	2	50	775.833	395.5	0	43.9	127.569	32.61	NA	3.333	NA	-90	45
214	2	51	772.5	393.5	0	47.8	131.456	33.317	NA	3.887	NA	-149.036	-59.036
215	2	52	774.5	391.5	0	42	134.285	35.843	NA	2.828	NA	-45	104.036
216	2	53	774.5	387.5	0	39.5	138.285	39.641	NA	4	NA	-90	-45
217	2	54	769.167	388.167	0	39.5	143.66	37.731	NA	5.375	NA	172.875	-97.125
218	2	55	761.833	388.167	0	38.4	150.993	37.176	NA	7.333	NA	180	7.125
219	2	56	753.167	384.167	0	60.7	160.538	42.249	NA	9.545	NA	-155.225	24.775
220	2	57	751.167	380.167	0	45.4	165.01	46.608	NA	4.472	NA	-116.565	38.66
221	2	58	751.833	377.5	0	46.8	167.759	49.045	NA	2.749	NA	-75.964	40.601
222	2	59	753.167	376.167	0	44	169.645	50.076	NA	1.886	NA	-45	30.964
223	2	60	757.167	372.833	0	47.5	174.851	52.787	NA	5.207	NA	-39.806	5.194
224	2	61	756.5	370.167	0	47	177.6	55.51	NA	2.749	NA	-104.036	-64.231
225	2	62	760.5	368.833	0	46.9	181.817	56.542	NA	4.216	NA	-18.435	85.601
226	2	63	761.833	367.5	0	40.9	183.702	57.839	NA	1.886	NA	-45	-26.565
227	2	64	766.5	366.833	0	45.2	188.416	58.625	NA	4.714	NA	-8.13	36.87
228	2	65	770.5	363.5	0	40.8	193.623	62.328	NA	5.207	NA	-39.806	-31.675
229	2	66	780.5	361.5	0	39.9	203.821	66.278	NA	10.198	NA	-11.31	28.496
230	2	67	787.833	359.5	0	52.4	211.422	70.48	NA	7.601	NA	-15.255	-3.945
231	2	68	788.5	356.167	0	39.6	214.822	73.834	NA	3.399	NA	-78.69	-63.435
232	2	69	793.167	357.5	0	41.2	219.675	74.375	NA	4.853	NA	15.945	94.635
233	2	70	797.167	354.833	0	36.2	224.482	78.489	NA	4.807	NA	-33.69	-49.635
234	2	71	801.167	355.5	0	40.8	228.538	79.743	NA	4.055	NA	9.462	43.152
235	2	72	810.5	354.167	0	39.7	237.966	85.748	NA	9.428	NA	-8.13	-17.592
236	2	73	813.167	352.167	0	31.6	241.299	88.902	NA	3.333	NA	-36.87	-28.74
237	2	74	821.167	350.167	0	32.7	249.545	95.249	NA	8.246	NA	-14.036	22.834
238	2	75	822.5	344.833	0	35.2	255.043	100.301	NA	5.497	NA	-75.964	-61.928
239	2	76	830.5	346.167	0	135	263.153	104.253	NA	8.11	NA	9.462	85.426
240	2	77	831.833	342.167	0	41.7	267.369	108.17	NA	4.216	NA	-71.565	-81.027
241	2	78	837.167	341.5	0	39.5	272.744	112.153	NA	5.375	NA	-7.125	64.44
242	2	79	840.5	338.833	0	140.9	277.013	116.363	NA	4.269	NA	-38.66	-31.535
243	2	80	827.833	340.833	0	58.4	289.837	106.71	NA	12.824	NA	171.027	-150.313
244	2	81	821.833	339.5	0	88.3	295.983	104.25	NA	6.146	NA	-167.471	21.501
245	2	82	815.833	337.5	0	51.4	302.307	102.671	NA	6.325	NA	-161.565	5.906
246	2	83	811.167	336.167	0	51.2	307.161	101.503	NA	4.853	NA	-164.055	-2.49
247	2	84	799.833	333.5	0	47.8	318.804	99.069	NA	11.643	NA	-166.759	-2.705
248	2	85	794.5	331.5	0	46.9	324.5	99.086	NA	5.696	NA	-159.444	7.316
249	2	86	788.5	326.833	0	47.8	332.101	101.831	NA	7.601	NA	-142.125	17.319
250	2	87	785.833	320.833	0	59.6	338.667	107.037	NA	6.566	NA	-113.962	28.163
251	2	88	780.5	322.833	0	52.5	344.363	104.04	NA	5.696	NA	159.444	-86.594
252	2	89	787.167	318.167	0	47.8	352.501	109.932	NA	8.138	NA	-34.992	165.564
253	2	90	788.5	316.167	0	47.6	354.904	112.182	NA	2.404	NA	-56.31	-21.318
254	2	91	794.5	312.167	0	144.2	362.115	117.559	NA	7.211	NA	-33.69	22.62
255	2	92	798.5	313.5	0	49	366.332	117.434	NA	4.216	NA	18.435	52.125
256	2	93	807.167	314.167	0	46.6	375.024	119.743	NA	8.692	NA	4.399	-14.036
257	2	94	818.5	314.167	0	48.6	386.357	124.4	NA	11.333	NA	0	-4.399
258	2	95	827.833	312.833	0	47.6	395.785	130.011	NA	9.428	NA	-8.13	-8.13
259	2	96	833.167	312.167	0	41.6	401.16	133.33	NA	5.375	NA	-7.125	1.005
260	2	97	835.833	308.167	0	44.5	405.968	138.135	NA	4.807	NA	-56.31	-49.185
261	2	98	831.833	306.833	0	37.5	410.184	137.209	NA	4.216	NA	-161.565	-105.255
262	2	99	829.167	300.833	0	44.5	416.75	141.147	NA	6.566	NA	-113.962	47.603
263	2	100	827.167	296.167	0	40.6	421.827	144.375	NA	5.077	NA	-113.199	0.764
264	2	101	834.5	292.833	0	35.8	429.882	150.719	NA	8.055	NA	-24.444	88.755
265	2	102	837.167	285.5	0	31.4	437.686	158.441	NA	7.803	NA	-70.017	-45.573
266	2	103	831.833	280.833	0	40.8	444.772	160.201	NA	7.087	NA	-138.814	-68.797
267	2	104	826	276	0	53.8	452.348	162.208	NA	7.576	NA	-140.356	-1.542
