Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
100	1	100	865.352	536.338	0	198.9	121.765	12.389	NA	4.249	NA	135	135
101	1	101	865.352	537.84	0	197	123.267	13.851	NA	1.502	NA	90	-45
102	1	102	865.352	537.84	0	89.8	123.267	13.851	NA	0	NA	0	-90
103	1	103	863.85	537.84	0	54.5	124.77	13.604	NA	1.502	NA	180	180
104	1	104	862.347	537.84	0	57.4	126.272	13.521	NA	1.502	NA	180	0
105	1	105	860.845	537.84	0	55.8	127.774	13.604	NA	1.502	NA	180	0
106	1	106	857.84	537.84	0	127.8	130.779	14.253	NA	3.005	NA	180	0
107	1	107	857.84	537.84	0	64.4	130.779	14.253	NA	0	NA	0	-180
108	1	108	857.84	537.84	0	39.7	130.779	14.253	NA	0	NA	0	0
109	1	109	854.836	537.84	0	65.4	133.784	15.468	NA	3.005	NA	180	180
110	1	110	854.836	537.84	0	47	133.784	15.468	NA	0	NA	0	-180
111	1	111	856.338	537.84	0	58.2	135.286	14.796	NA	1.502	NA	0	0
112	1	112	856.338	537.84	0	60.6	135.286	14.796	NA	0	NA	0	0
113	1	113	856.338	537.84	0	56.6	135.286	14.796	NA	0	NA	0	0
114	1	114	856.338	537.84	0	46.6	135.286	14.796	NA	0	NA	0	0
115	1	115	856.338	537.84	0	42.9	135.286	14.796	NA	0	NA	0	0
116	1	116	856.338	537.84	0	35.9	135.286	14.796	NA	0	NA	0	0
117	1	117	857.84	537.84	0	50.9	136.788	14.253	NA	1.502	NA	0	0
118	1	118	859.343	537.84	0	48.9	138.291	13.851	NA	1.502	NA	0	0
119	1	119	859.343	537.84	0	32.4	138.291	13.851	NA	0	NA	0	0
120	1	120	860.845	537.84	0	38.3	139.793	13.604	NA	1.502	NA	0	0
121	1	121	862.347	537.84	0	41	141.295	13.521	NA	1.502	NA	0	0
122	1	122	862.347	537.84	0	38.3	141.295	13.521	NA	0	NA	0	0
123	1	123	862.347	537.84	0	32.4	141.295	13.521	NA	0	NA	0	0
124	1	124	862.347	537.84	0	30.3	141.295	13.521	NA	0	NA	0	0
125	1	125	865.352	537.84	0	39.4	144.3	13.851	NA	3.005	NA	0	0
126	1	126	865.352	537.84	0	37.3	144.3	13.851	NA	0	NA	0	0
127	1	127	865.352	536.338	0	40.8	145.803	12.389	NA	1.502	NA	-90	-90
128	1	128	862.347	536.338	0	39.4	148.807	12.019	NA	3.005	NA	180	-90
129	1	129	863.85	536.338	0	38.7	150.31	12.112	NA	1.502	NA	0	-180
130	1	130	857.84	531.831	0	110.8	157.821	8.76	NA	7.512	NA	-143.13	-143.13
131	1	131	857.84	531.831	0	29.1	157.821	8.76	NA	0	NA	0	143.13
132	1	132	857.84	531.831	0	32.4	157.821	8.76	NA	0	NA	0	0
133	1	133	856.338	530.329	0	44.2	159.946	8.499	NA	2.125	NA	-135	-135
134	1	134	851.831	530.329	0	31.3	164.453	12.112	NA	4.507	NA	180	-45
135	1	135	847.324	530.329	0	86.3	168.96	16.181	NA	4.507	NA	180	0
136	1	136	847.324	530.329	0	31.7	168.96	16.181	NA	0	NA	0	-180
137	1	137	842.817	530.329	0	64.2	173.467	20.434	NA	4.507	NA	180	180
138	1	138	842.817	530.329	0	32.8	173.467	20.434	NA	0	NA	0	-180
139	1	139	839.812	531.831	0	29.5	176.826	23.754	NA	3.359	NA	153.435	153.435
140	1	140	839.812	531.831	0	24.7	176.826	23.754	NA	0	NA	0	-153.435
141	1	141	839.812	531.831	0	37	176.826	23.754	NA	0	NA	0	0
142	1	142	839.812	531.831	0	40	176.826	23.754	NA	0	NA	0	0
143	1	143	839.812	531.831	0	40	176.826	23.754	NA	0	NA	0	0
144	1	144	839.812	531.831	0	41	176.826	23.754	NA	0	NA	0	0
145	1	145	839.812	531.831	0	40	176.826	23.754	NA	0	NA	0	0
146	1	146	839.812	531.831	0	39.8	176.826	23.754	NA	0	NA	0	0
147	1	147	842.817	531.831	0	41	179.831	20.925	NA	3.005	NA	0	0
148	1	148	842.817	531.831	0	44.4	179.831	20.925	NA	0	NA	0	0
149	1	149	842.817	531.831	0	42.2	179.831	20.925	NA	0	NA	0	0
150	1	150	842.817	531.831	0	37	179.831	20.925	NA	0	NA	0	0
151	1	151	842.817	531.831	0	31.6	179.831	20.925	NA	0	NA	0	0
152	1	152	842.817	531.831	0	48.7	179.831	20.925	NA	0	NA	0	0
153	1	153	848.826	528.826	0	43.2	186.55	14.253	NA	6.719	NA	-26.565	-26.565
154	1	154	848.826	528.826	0	45.6	186.55	14.253	NA	0	NA	0	26.565
155	1	155	848.826	528.826	0	44.4	186.55	14.253	NA	0	NA	0	0
156	1	156	847.324	531.831	0	47	189.909	16.797	NA	3.359	NA	116.565	116.565
157	1	157	845.822	534.836	0	44.4	193.269	19.588	NA	3.359	NA	116.565	0
158	1	158	844.319	537.84	0	37.2	196.628	22.535	NA	3.359	NA	116.565	0
159	1	159	844.319	537.84	0	45.4	196.628	22.535	NA	0	NA	0	-116.565
160	1	160	839.812	545.352	0	175.1	205.388	30.826	NA	8.76	NA	120.964	120.964
