MTrackJ,1.5.1,Data,,,,
Displaying,TRUE,TRUE,,,,
Point,68,788.5,356.1666667,1,78,1
Point,69,793.1666667,357.5,1,79,1
Point,70,797.1666667,354.8333333,1,80,1
Point,71,801.1666667,355.5,1,81,1
Point,72,810.5,354.1666667,1,82,1
Point,73,813.1666667,352.1666667,1,83,1
Point,74,821.1666667,350.1666667,1,84,1
Point,75,822.5,344.8333333,1,85,1
Point,76,830.5,346.1666667,1,86,1
Point,77,831.8333333,342.1666667,1,87,1
Point,78,837.1666667,341.5,1,88,1
Point,79,840.5,338.8333333,1,89,1
Point,80,827.8333333,340.8333333,1,90,1
Point,81,821.8333333,339.5,1,91,1
Point,82,815.8333333,337.5,1,92,1
Point,83,811.1666667,336.1666667,1,93,1
Point,84,799.8333333,333.5,1,94,1
Point,85,794.5,331.5,1,95,1
Point,86,788.5,326.8333333,1,96,1
Point,87,785.8333333,320.8333333,1,97,1
Point,88,780.5,322.8333333,1,98,1
Point,89,787.1666667,318.1666667,1,99,1
Point,90,788.5,316.1666667,1,100,1
Point,91,794.5,312.1666667,1,101,1
Point,92,798.5,313.5,1,102,1
Point,93,807.1666667,314.1666667,1,103,1
Point,94,818.5,314.1666667,1,104,1
Point,95,827.8333333,312.8333333,1,105,1
Point,96,833.1666667,312.1666667,1,106,1
Point,97,835.8333333,308.1666667,1,107,1
Point,98,831.8333333,306.8333333,1,108,1
Point,99,829.1666667,300.8333333,1,109,1
Point,100,827.1666667,296.1666667,1,110,1
Point,101,834.5,292.8333333,1,111,1
Point,102,837.1666667,285.5,1,112,1
Point,103,831.8333333,280.8333333,1,113,1
Point,104,826,276,1,114,1
Point,105,813,271,1,115,1
Point,106,803,263,1,116,1
Point,107,800,249,1,117,1
Point,108,802,244,1,118,1
Point,109,806,240,1,119,1
Point,110,815,231,1,120,1
Point,111,809,227,1,121,1
Point,112,812,221,1,122,1
Point,113,812,215,1,123,1
Point,114,822,214,1,124,1
Point,115,830,212,1,125,1
Point,116,850,207,1,126,1
Point,117,855,203,1,127,1
Point,118,870,197,1,128,1
Point,119,881,192,1,129,1
Point,120,889,189,1,130,1
Point,121,897,188,1,131,1
Point,122,905,181,1,132,1
Point,123,915,177,1,133,1
Point,124,922,174,1,134,1
Point,125,932,171,1,135,1
Point,126,949,166,1,136,1
Point,127,961,164,1,137,1
Point,128,982,151,1,138,1
Point,129,994,144,1,139,1
Point,130,1010,137,1,140,1
Point,131,1026,127,1,141,1
Point,132,1037,113,1,142,1
Point,133,1042,105,1,143,1
Point,134,1029,99,1,144,1
Point,135,1006,99,1,145,1
Point,136,986,85,1,146,1
Point,137,973,75,1,147,1
Point,138,970,67,1,148,1
Point,139,980,66,1,149,1
Point,140,974,63,1,150,1
Point,141,966,61,1,151,1
Point,142,947,48,1,152,1
Point,143,928,37,1,153,1
Point,144,913,24,1,154,1
Point,145,909,17,1,155,1
End,of,MTrackJ,Data,File,,
